age,two_year_recid,sex,priors_count,length_of_stay,decile_score,c_charge_degree_F,c_charge_degree_M,race
34,1,0,0,10,3,1,0,1
24,1,0,4,1,4,1,0,1
41,1,0,14,6,6,1,0,0
39,0,1,0,2,1,0,1,0
27,0,0,0,1,4,1,0,0
23,1,0,3,4,6,0,1,1
37,0,1,0,0,1,0,1,0
41,0,0,0,0,4,1,0,1
47,1,1,1,14,1,1,0,0
31,1,0,7,3,3,1,0,1
25,0,0,3,1,10,1,0,1
31,1,0,6,1,5,1,0,0
31,1,0,5,1,3,1,0,0
64,1,0,13,1,6,1,0,1
21,1,0,1,3,9,1,0,1
27,1,0,0,0,2,0,1,0
21,0,1,0,1,4,1,0,0
43,0,0,1,1,1,0,1,0
27,1,0,8,17,3,1,0,1
26,1,0,5,0,7,1,0,1
33,1,0,0,37,10,1,0,1
30,1,0,9,44,9,1,0,0
32,1,0,4,1,8,1,0,1
55,0,0,0,2,1,1,0,0
33,1,1,4,11,5,0,1,0
24,1,0,1,1,2,0,1,0
34,1,0,21,33,9,1,0,1
29,0,0,0,-1,2,0,1,0
21,0,1,2,79,8,1,0,1
51,0,0,2,1,1,0,1,1
29,1,0,2,0,2,0,1,0
51,0,1,7,1,2,1,0,1
29,1,0,0,0,7,1,0,1
25,1,0,9,6,10,0,1,0
35,1,0,13,0,8,1,0,1
49,0,0,0,0,1,0,1,0
29,0,0,0,0,4,1,0,1
29,1,0,1,0,2,1,0,0
31,0,0,15,135,5,1,0,1
24,1,0,2,1,4,1,0,1
49,0,0,4,0,1,0,1,1
53,0,0,8,13,5,1,0,0
35,0,0,5,0,3,1,0,1
27,1,0,15,1,10,1,0,1
38,1,0,4,1,2,0,1,0
22,1,0,1,1,4,1,0,1
29,1,0,4,18,9,1,0,1
27,1,0,6,30,6,1,0,1
56,0,1,0,3,1,0,1,1
39,0,0,1,4,4,0,1,1
29,1,0,5,1,6,1,0,1
27,1,0,1,14,6,1,0,0
40,0,0,2,3,2,1,0,1
22,1,0,1,16,3,0,1,1
22,0,0,0,57,8,1,0,0
26,1,1,1,2,4,1,0,1
32,0,0,0,1,2,1,0,1
41,0,0,1,1,2,0,1,1
30,1,0,8,1,10,0,1,1
25,1,0,14,7,10,1,0,1
22,1,0,2,30,9,1,0,1
35,0,1,1,0,2,0,1,1
36,1,0,9,3,7,1,0,1
26,1,0,7,0,8,1,0,0
25,1,0,9,0,8,1,0,0
20,0,1,0,0,7,1,0,0
39,1,0,2,-1,1,1,0,0
54,0,1,0,0,1,0,1,0
19,1,0,1,9,4,0,1,1
30,0,0,1,0,2,1,0,1
39,1,1,0,1,1,1,0,0
24,1,0,8,12,6,1,0,0
30,0,0,0,5,4,1,0,0
31,0,0,0,38,5,0,1,0
39,0,1,1,106,4,1,0,0
43,0,0,1,1,1,1,0,0
21,1,0,3,6,9,1,0,1
38,1,0,5,2,4,0,1,0
34,0,0,0,14,5,1,0,0
33,1,0,5,0,5,1,0,1
37,0,0,3,1,2,1,0,1
42,1,0,1,0,2,1,0,0
41,1,0,10,176,9,1,0,1
22,1,0,0,0,4,1,0,1
33,1,0,28,1,8,1,0,1
31,0,0,1,1,7,0,1,1
31,1,0,13,471,10,1,0,0
27,1,0,3,0,9,1,0,1
52,0,0,3,0,9,0,1,0
33,1,0,19,0,10,1,0,1
42,0,0,6,-1,3,1,0,0
25,0,1,2,3,4,1,0,0
30,0,0,1,3,2,0,1,0
28,1,0,0,0,2,0,1,0
24,0,1,0,2,2,0,1,1
29,1,1,10,7,4,1,0,0
44,1,0,2,-1,2,0,1,0
32,1,0,3,8,7,1,0,1
31,1,0,2,15,3,0,1,0
31,0,0,1,1,2,0,1,1
59,1,0,1,0,2,1,0,0
20,0,1,1,2,10,1,0,1
43,0,1,0,0,1,0,1,0
38,1,0,9,13,8,1,0,1
